NS	GO_ID	dcnt	Depth	human_IC	mouse_IC	fly_IC	Diversity_IC	human_GeneCount	mouse_GeneCount	fly_GeneCount	Diversity_GeneCount	Name
MF	GO:0071890	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	bicarbonate binding
CC	GO:0071953	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	elastic fiber
CC	GO:0071957	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	old mitotic spindle pole body
CC	GO:0071958	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	new mitotic spindle pole body
BP	GO:0071959	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	maintenance of mitotic sister chromatid cohesion, arms
BP	GO:0071960	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	maintenance of mitotic sister chromatid cohesion, centromeric
MF	GO:0071967	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	lipopolysaccharide core heptosyltransferase activity
MF	GO:0071968	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	lipid A-core heptosyltransferase activity
BP	GO:0071973	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	bacterial-type flagellum-dependent cell motility
BP	GO:0071985	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	multivesicular body sorting pathway
BP	GO:0072004	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	kidney field specification
BP	GO:0072007	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	mesangial cell differentiation
BP	GO:0072038	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	mesenchymal stem cell maintenance involved in nephron morphogenesis
BP	GO:0072046	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	establishment of planar polarity involved in nephron morphogenesis
BP	GO:0072047	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	proximal/distal pattern formation involved in nephron development
BP	GO:0072052	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	juxtaglomerulus cell differentiation
BP	GO:0072060	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	outer medullary collecting duct development
BP	GO:0072061	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	inner medullary collecting duct development
BP	GO:0072062	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	proximal convoluted tubule segment 1 cell differentiation
BP	GO:0072069	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	DCT cell differentiation
BP	GO:0072071	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	kidney interstitial fibroblast differentiation
BP	GO:0072073	57	5	0.0	0.0	0.0	0.0	0	0	0	0.0	kidney epithelium development
BP	GO:0072074	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	kidney mesenchyme development
BP	GO:0072077	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	renal vesicle morphogenesis
BP	GO:0072082	3	5	0.0	0.0	0.0	0.0	0	0	0	0.0	specification of proximal tubule identity
BP	GO:0072084	3	5	0.0	0.0	0.0	0.0	0	0	0	0.0	specification of distal tubule identity
BP	GO:0072085	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	specification of connecting tubule identity
BP	GO:0072086	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	specification of loop of Henle identity
BP	GO:0072088	16	5	0.0	0.0	0.0	0.0	0	0	0	0.0	nephron epithelium morphogenesis
BP	GO:0072090	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	mesenchymal stem cell proliferation involved in nephron morphogenesis
BP	GO:0072091	9	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of stem cell proliferation
BP	GO:0072095	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of branch elongation involved in ureteric bud branching
BP	GO:0072098	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	anterior/posterior pattern specification involved in kidney development
BP	GO:0072103	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	glomerulus vasculature morphogenesis
BP	GO:0072109	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	glomerular mesangium development
BP	GO:0072114	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	pronephros morphogenesis
BP	GO:0072117	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	head kidney formation
BP	GO:0072120	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	pronephros maturation
BP	GO:0072123	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	intraglomerular mesangial cell proliferation
BP	GO:0072127	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	renal capsule development
BP	GO:0072131	4	5	0.0	0.0	0.0	0.0	0	0	0	0.0	kidney mesenchyme morphogenesis
BP	GO:0072136	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric mesenchymal cell proliferation involved in metanephros development
BP	GO:0072138	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	mesenchymal cell proliferation involved in ureteric bud development
BP	GO:0072144	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	glomerular mesangial cell development
BP	GO:0072152	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	glomerular mesangial cell fate commitment
BP	GO:0072167	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	specification of mesonephric tubule identity
BP	GO:0072174	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric tubule formation
BP	GO:0072179	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	nephric duct formation
BP	GO:0072184	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	renal vesicle progenitor cell differentiation
BP	GO:0072188	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric cap specification
BP	GO:0072190	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	ureter urothelium development
BP	GO:0072192	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	ureter epithelial cell differentiation
BP	GO:0072202	13	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cell differentiation involved in metanephros development
BP	GO:0072205	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric collecting duct development
BP	GO:0072214	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric cortex development
BP	GO:0072215	9	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of metanephros development
BP	GO:0072226	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric long descending thin limb bend development
BP	GO:0072228	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric prebend segment development
BP	GO:0072231	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric proximal convoluted tubule segment 1 development
BP	GO:0072232	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric proximal convoluted tubule segment 2 development
BP	GO:0072238	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric long nephron development
BP	GO:0072241	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric DCT cell development
BP	GO:0072242	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric DCT cell fate commitment
BP	GO:0072252	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric juxtaglomerulus cell development
BP	GO:0072253	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric juxtaglomerulus cell fate commitment
BP	GO:0072259	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric interstitial fibroblast development
BP	GO:0072260	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric interstitial fibroblast fate commitment
BP	GO:0072261	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric extraglomerular mesangial cell proliferation involved in metanephros development
BP	GO:0072262	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric glomerular mesangial cell proliferation involved in metanephros development
BP	GO:0072265	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric capsule morphogenesis
BP	GO:0072267	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric capsule specification
BP	GO:0072270	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric short nephron development
BP	GO:0072277	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric glomerular capillary formation
BP	GO:0072293	4	5	0.0	0.0	0.0	0.0	0	0	0	0.0	specification of metanephric nephron tubule identity
BP	GO:0072310	9	5	0.0	0.0	0.0	0.0	0	0	0	0.0	glomerular epithelial cell development
BP	GO:0072314	8	5	0.0	0.0	0.0	0.0	0	0	0	0.0	glomerular epithelial cell fate commitment
BP	GO:0072337	29	5	0.0	0.0	0.0	0.0	0	0	0	0.0	modified amino acid transport
BP	GO:0072340	12	5	0.0	0.0	0.0	0.0	0	0	0	0.0	lactam catabolic process
BP	GO:0072342	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to anion stress
MF	GO:0072373	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	alpha-carotene epsilon hydroxylase activity
BP	GO:0072390	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	phenol metabolic process
BP	GO:0072399	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to cytokinesis checkpoint signaling
BP	GO:0072402	9	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to DNA integrity checkpoint signaling
BP	GO:0072410	3	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to meiotic cell cycle checkpoint signaling
BP	GO:0072414	12	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to mitotic cell cycle checkpoint signaling
BP	GO:0072417	7	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to spindle checkpoint signaling
BP	GO:0072490	37	5	0.0	0.0	0.0	0.0	0	0	0	0.0	toluene-containing compound metabolic process
BP	GO:0072497	4	5	0.0	0.0	0.0	0.0	0	0	0	0.0	mesenchymal stem cell differentiation
BP	GO:0072522	114	5	0.0	0.0	0.0	0.0	0	0	0	0.0	purine-containing compound biosynthetic process
BP	GO:0072523	84	5	2.3025850929940455	0.0	0.0	-0.0	0	0	0	0.0	purine-containing compound catabolic process
BP	GO:0072525	31	5	0.0	0.0	0.0	0.0	0	0	0	0.0	pyridine-containing compound biosynthetic process
BP	GO:0072526	29	5	0.0	0.0	0.0	0.0	0	0	0	0.0	pyridine-containing compound catabolic process
BP	GO:0072528	57	5	0.0	0.0	0.0	0.0	0	0	0	0.0	pyrimidine-containing compound biosynthetic process
BP	GO:0072529	41	5	0.0	0.0	0.0	0.0	0	0	0	0.0	pyrimidine-containing compound catabolic process
BP	GO:0072530	21	5	0.0	0.0	0.0	0.0	0	0	0	0.0	purine-containing compound transmembrane transport
BP	GO:0072531	8	5	0.0	0.0	0.0	0.0	0	0	0	0.0	pyrimidine-containing compound transmembrane transport
MF	GO:0072532	3	5	0.0	0.0	0.0	0.0	0	0	0	0.0	tri-(feruloyl or hydroxyferuloyl) spermidine meta-hydroxylase activity
MF	GO:0072533	3	5	0.0	0.0	0.0	0.0	0	0	0	0.0	tri-(coumaroyl or caffeoyl) spermidine meta-hydroxylase activity
CC	GO:0072536	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	interleukin-23 receptor complex
BP	GO:0072538	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	T-helper 17 type immune response
MF	GO:0072541	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	peroxynitrite reductase activity
MF	GO:0072542	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	protein phosphatase activator activity
BP	GO:0072553	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	terminal button organization
BP	GO:0072565	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	endothelial microparticle formation
MF	GO:0072570	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	ADP-D-ribose binding
BP	GO:0072574	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	hepatocyte proliferation
BP	GO:0072576	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	liver morphogenesis
CC	GO:0072589	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	box H/ACA scaRNP complex
BP	GO:0072595	11	5	0.0	0.0	0.0	0.0	0	0	0	0.0	maintenance of protein localization in organelle
BP	GO:0072657	79	5	0.0	0.0	0.0	0.0	0	0	0	0.0	protein localization to membrane
BP	GO:0072658	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	maintenance of protein location in membrane
BP	GO:0072675	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	osteoclast fusion
BP	GO:0072701	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular response to bismuth
BP	GO:0072703	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular response to methyl methanesulfonate
BP	GO:0072704	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to mercaptoethanol
BP	GO:0072707	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular response to sodium dodecyl sulfate
BP	GO:0072708	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to sorbitol
BP	GO:0072711	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular response to hydroxyurea
BP	GO:0072712	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to thiabendazole
BP	GO:0072715	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular response to selenite ion
BP	GO:0072721	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular response to dithiothreitol
BP	GO:0072722	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to amitrole
BP	GO:0072724	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to 4-nitroquinoline N-oxide
BP	GO:0072729	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular response to Gentian violet
BP	GO:0072730	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to papulacandin B
BP	GO:0072738	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular response to diamide
BP	GO:0072739	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to anisomycin
BP	GO:0072741	12	5	0.0	0.0	0.0	0.0	0	0	0	0.0	protein localization to cell division site
BP	GO:0072756	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular response to paraquat
BP	GO:0072760	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cellular response to GW 7647
BP	GO:0072766	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	centromere clustering at the mitotic interphase nuclear envelope
BP	GO:0075001	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	adhesion of symbiont infection structure to host
BP	GO:0075011	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	positive regulation of germ tube formation
BP	GO:0075012	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	negative regulation of germ tube formation
BP	GO:0075017	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of appressorium formation
BP	GO:0075031	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	positive regulation of formation of symbiont germ tube hook structure for appressorium development
BP	GO:0075032	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	negative regulation of formation of symbiont germ tube hook structure for appressorium development
BP	GO:0075045	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of formation by symbiont of haustorium for nutrient acquisition from host
BP	GO:0075054	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	modulation of penetration peg formation
BP	GO:0075136	99	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to host
BP	GO:0075185	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	positive regulation of infection cushion formation
BP	GO:0075186	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	negative regulation of infection cushion formation
BP	GO:0075188	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of hyphopodium formation
BP	GO:0075194	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	positive regulation of haustorium mother cell formation
BP	GO:0075195	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	negative regulation of haustorium mother cell formation
BP	GO:0075198	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	modulation of symbiont haustorium neck formation for entry into host
BP	GO:0075202	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of penetration hypha formation
BP	GO:0075218	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	zoospore encystment on host
BP	GO:0075227	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of encysted zoospore germination
BP	GO:0075243	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	oospore formation
BP	GO:0075247	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	aeciospore formation
BP	GO:0075251	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	uredospore formation
BP	GO:0075255	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	teliospore formation
BP	GO:0075261	15	5	0.0	0.0	0.0	0.0	0	0	0	0.0	positive regulation of spore-bearing organ development
BP	GO:0075262	15	5	0.0	0.0	0.0	0.0	0	0	0	0.0	negative regulation of spore-bearing organ development
BP	GO:0075263	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	oogonium development
BP	GO:0075264	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of oogonium development
BP	GO:0075271	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	zygosporangium development
BP	GO:0075272	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of zygosporangium development
BP	GO:0075275	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	telium development
BP	GO:0075276	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of telium development
BP	GO:0075279	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	uredinium development
BP	GO:0075280	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of uredinium development
BP	GO:0075294	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	positive regulation by symbiont of entry into host
BP	GO:0075310	8	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of sporangium development
BP	GO:0075313	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	basidium development
BP	GO:0075314	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of basidium development
BP	GO:0075317	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	ascus development
BP	GO:0075318	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of ascus development
BP	GO:0075342	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	symbiont-mediated disruption of host cell PML body
BP	GO:0075505	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	entry of intact viral capsid into host nucleus through nuclear pore complex
BP	GO:0075506	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	entry of viral genome into host nucleus through nuclear pore complex via importin
BP	GO:0075507	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	entry of viral genome into host nucleus via docking of viral capsid to the nuclear pore complex and injection of viral genome
BP	GO:0075508	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	entry of viral genome into host nucleus via retainment of capsid in nuclear pore complex and release of genome into nucleoplasm
BP	GO:0075521	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	microtubule-dependent intracellular transport of viral material towards nucleus
MF	GO:0080011	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	baruol synthase activity
MF	GO:0080013	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	(E,E)-geranyllinalool synthase activity
MF	GO:0080019	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	alcohol-forming very long-chain fatty acyl-CoA reductase activity
BP	GO:0080021	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to benzoic acid
BP	GO:0080022	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	primary root development
BP	GO:0080027	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to herbivore
BP	GO:0080028	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	nitrile biosynthetic process
MF	GO:0080030	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	methyl indole-3-acetate esterase activity
MF	GO:0080031	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	methyl salicylate esterase activity
MF	GO:0080032	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	methyl jasmonate esterase activity
MF	GO:0080049	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	L-gulono-1,4-lactone dehydrogenase activity
BP	GO:0080051	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cutin transport
BP	GO:0080056	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	petal vascular tissue pattern formation
BP	GO:0080057	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	sepal vascular tissue pattern formation
BP	GO:0080093	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of photorespiration
BP	GO:0080094	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to trehalose-6-phosphate
BP	GO:0080110	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	sporopollenin biosynthetic process
BP	GO:0080113	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of seed growth
MF	GO:0080118	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	brassinosteroid sulfotransferase activity
BP	GO:0080119	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	ER body organization
MF	GO:0080123	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	jasmonoyl-L-amino acid ligase activity
MF	GO:0080124	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	pheophytinase activity
MF	GO:0080131	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	hydroxyjasmonate sulfotransferase activity
MF	GO:0080133	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	midchain alkane hydroxylase activity
BP	GO:0080135	172	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of cellular response to stress
MF	GO:0080139	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	borate efflux transmembrane transporter activity
BP	GO:0080145	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	intracellular cysteine homeostasis
BP	GO:0080155	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of double fertilization forming a zygote and endosperm
BP	GO:0080157	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of plant-type cell wall organization or biogenesis
BP	GO:0080159	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	zygote elongation
BP	GO:0080160	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	selenate transport
BP	GO:0080164	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of nitric oxide metabolic process
BP	GO:0080165	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	callose deposition in phloem sieve plate
BP	GO:0080170	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	hydrogen peroxide transmembrane transport
MF	GO:0080176	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	xyloglucan 1,6-alpha-xylosidase activity
BP	GO:0080184	7	5	0.0	0.0	0.0	0.0	0	0	0	0.0	response to phenylpropanoid
CC	GO:0085037	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	extrahaustorial membrane
CC	GO:0085039	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	hyphal membrane
CC	GO:0085042	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	periarbuscular membrane
BP	GO:0086001	7	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cardiac muscle cell action potential
BP	GO:0086003	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cardiac muscle cell contraction
BP	GO:0086010	7	5	0.0	0.0	0.0	0.0	0	0	0	0.0	membrane depolarization during action potential
BP	GO:0086011	7	5	0.0	0.0	0.0	0.0	0	0	0	0.0	membrane repolarization during action potential
BP	GO:0086019	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cell-cell signaling involved in cardiac conduction
BP	GO:0086021	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	SA node cell to atrial cardiac muscle cell communication by electrical coupling
BP	GO:0086042	5	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cardiac muscle cell-cardiac muscle cell adhesion
BP	GO:0086044	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	atrial cardiac muscle cell to AV node cell communication by electrical coupling
BP	GO:0086053	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	AV node cell to bundle of His cell communication by electrical coupling
BP	GO:0086054	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	bundle of His cell to Purkinje myocyte communication by electrical coupling
BP	GO:0086055	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	Purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling
MF	GO:0089702	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	undecaprenyl-phosphate glucose phosphotransferase activity
MF	GO:0089714	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	UDP-N-acetyl-D-mannosamine dehydrogenase activity
MF	GO:0089720	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	caspase binding
BP	GO:0090033	11	5	0.0	0.0	0.0	0.0	0	0	0	0.0	positive regulation of filamentous growth
BP	GO:0090057	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	root radial pattern formation
BP	GO:0090060	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of metaxylem development
BP	GO:0090069	6	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of ribosome biogenesis
BP	GO:0090076	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	relaxation of skeletal muscle
BP	GO:0090078	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	smooth muscle derived foam cell differentiation
BP	GO:0090083	8	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of inclusion body assembly
BP	GO:0090087	62	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of peptide transport
BP	GO:0090094	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	metanephric cap mesenchymal cell proliferation involved in metanephros development
BP	GO:0090110	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	COPII-coated vesicle cargo loading
BP	GO:0090137	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	epithelial cell-cell adhesion involved in epithelium migration
BP	GO:0090144	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	mitochondrial nucleoid organization
BP	GO:0090148	4	5	0.0	0.0	0.0	0.0	0	0	0	0.0	membrane fission
BP	GO:0090158	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	endoplasmic reticulum membrane organization
BP	GO:0090163	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	establishment of epithelial cell planar polarity
BP	GO:0090184	10	5	0.0	0.0	0.0	0.0	0	0	0	0.0	positive regulation of kidney development
BP	GO:0090185	10	5	0.0	0.0	0.0	0.0	0	0	0	0.0	negative regulation of kidney development
BP	GO:0090192	8	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of glomerulus development
BP	GO:0090220	2	5	0.0	0.0	0.0	0.0	0	0	0	0.0	chromosome localization to nuclear envelope involved in homologous chromosome segregation
BP	GO:0090245	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	axis elongation involved in somitogenesis
BP	GO:0090250	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cell-cell adhesion involved in establishment of planar polarity
BP	GO:0090251	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	protein localization involved in establishment of planar polarity
BP	GO:0090254	0	5	0.0	0.0	0.0	0.0	0	0	0	0.0	cell elongation involved in imaginal disc-derived wing morphogenesis
BP	GO:0090257	138	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of muscle system process
BP	GO:0090264	1	5	0.0	0.0	0.0	0.0	0	0	0	0.0	regulation of immune complex clearance by monocytes and macrophages
